EntityName,DataYear,Fixed broadband 5GB,Mobile broadband data only 1.5 GB,Mobile Data and Voice Low Usage,Mobile Data and Voice High Usage
Barbados,2008,47.14,,,
Grenada,2008,38.41,,,
Suriname,2008,166.44,,,
British Virgin Islands,2008,,,,
Jamaica,2008,70.24,,,
Bahamas,2008,,,,
Trinidad and Tobago,2008,20.35,,,
Bermuda,2008,,,,
Saint Kitts and Nevis,2008,,,,
Guyana,2008,79.06,,,
Haiti,2008,,,,
Antigua and Barbuda,2008,,,,
Cayman Islands,2008,,,,
Saint Lucia,2008,69.56,,,
Turks & Caicos Is.,2008,,,,
Saint Vincent and the Grenadines,2008,73.54,,,
Dominica,2008,63.08,,,
Belize,2008,160.35,,,
Anguilla,2008,,,,
Montserrat,2008,,,,
Bahamas,2009,,,,
Saint Vincent and the Grenadines,2009,44.49,,,
Bermuda,2009,,,,
Belize,2009,90.24,,,
Saint Lucia,2009,37.38,,,
Haiti,2009,,,,
Suriname,2009,139.95,,,
Antigua and Barbuda,2009,,,,
Barbados,2009,31.58,,,
Dominica,2009,62.83,,,
Anguilla,2009,,,,
Turks & Caicos Is.,2009,,,,
Grenada,2009,38.39,,,
Montserrat,2009,,,,
Cayman Islands,2009,,,,
Guyana,2009,76.55,,,
British Virgin Islands,2009,,,,
Saint Kitts and Nevis,2009,,,,
Trinidad and Tobago,2009,18.95,,,
Jamaica,2009,36.0,,,
Anguilla,2010,,,,
Antigua and Barbuda,2010,,,,
Dominica,2010,61.88,,,
Saint Lucia,2010,36.79,,,
Bahamas,2010,,,,
Saint Kitts and Nevis,2010,,,,
Guyana,2010,71.69,,,
Haiti,2010,,,,
Montserrat,2010,,,,
Cayman Islands,2010,,,,
Turks & Caicos Is.,2010,,,,
Jamaica,2010,41.57,,,
British Virgin Islands,2010,,,,
Barbados,2010,34.73,,,
Trinidad and Tobago,2010,17.43,,,
Bermuda,2010,,,,
Grenada,2010,37.72,,,
Belize,2010,159.04,,,
Saint Vincent and the Grenadines,2010,44.56,,,
Suriname,2010,70.01,,,
Bermuda,2011,,,,
Montserrat,2011,,,,
British Virgin Islands,2011,,,,
Belize,2011,84.56,,,
Bahamas,2011,,,,
Antigua and Barbuda,2011,,,,
Cayman Islands,2011,,,,
Grenada,2011,37.93,,,
Barbados,2011,33.45,,,
Dominica,2011,43.01,,,
Haiti,2011,,,,
Saint Lucia,2011,36.93,,,
Saint Vincent and the Grenadines,2011,44.55,,,
Anguilla,2011,,,,
Turks & Caicos Is.,2011,,,,
Jamaica,2011,39.87,,,
Saint Kitts and Nevis,2011,,,,
Guyana,2011,37.51,,,
Trinidad and Tobago,2011,17.1,,,
Suriname,2011,73.03,,,
Saint Vincent and the Grenadines,2012,44.32,,,
Belize,2012,85.2,,,
Montserrat,2012,,,,
Haiti,2012,,,,
Suriname,2012,70.6,,,
Grenada,2012,37.81,,,
Trinidad and Tobago,2012,15.98,,,
British Virgin Islands,2012,,,,
Jamaica,2012,37.75,,,
Turks & Caicos Is.,2012,,,,
Cayman Islands,2012,,,,
Dominica,2012,49.81,,,
Bermuda,2012,,,,
Barbados,2012,36.61,,,
Guyana,2012,37.39,,,
Bahamas,2012,,,,
Saint Kitts and Nevis,2012,,,,
Saint Lucia,2012,44.77,,,
Antigua and Barbuda,2012,,,,
Anguilla,2012,,,,
Trinidad and Tobago,2013,15.41,34.91,32.14,
Saint Kitts and Nevis,2013,,,,
Suriname,2013,70.28,30.8,50.06,
Antigua and Barbuda,2013,,71.65,33.8,
Bermuda,2013,,,,
Anguilla,2013,,,,
Haiti,2013,,44.46,44.46,
Guyana,2013,37.26,,,
Bahamas,2013,,,26.38,
Barbados,2013,34.28,14.52,14.92,
Saint Vincent and the Grenadines,2013,44.61,,,
Belize,2013,85.88,25.76,,
Dominica,2013,50.57,,,
Turks & Caicos Is.,2013,,,,
Montserrat,2013,,,,
Saint Lucia,2013,44.77,,,
Grenada,2013,38.38,,,
Jamaica,2013,35.84,34.96,24.47,
Cayman Islands,2013,,,,
