EntityName,DataYear,Fixed broadband 5GB,Mobile broadband data only 1.5 GB,Mobile Data and Voice Low Usage,Mobile Data and Voice High Usage
Barbados,2008,49.5,,,
Grenada,2008,29.26,,,
Suriname,2008,95.0,,,
British Virgin Islands,2008,,,,
Jamaica,2008,48.16,,,
Bahamas,2008,,,,
Trinidad and Tobago,2008,12.56,,,
Bermuda,2008,,,,
Saint Kitts and Nevis,2008,,,,
Guyana,2008,49.01,,,
Haiti,2008,,,,
Antigua and Barbuda,2008,,,,
Cayman Islands,2008,,,,
Saint Lucia,2008,55.19,,,
Turks & Caicos Is.,2008,,,,
Saint Vincent and the Grenadines,2008,55.19,,,
Dominica,2008,47.78,,,
Belize,2008,98.45,,,
Anguilla,2008,,,,
Montserrat,2008,,,,
Bahamas,2009,,,,
Saint Vincent and the Grenadines,2009,33.65,,,
Bermuda,2009,,,,
Belize,2009,55.0,,,
Saint Lucia,2009,29.26,,,
Haiti,2009,,,,
Suriname,2009,80.04,,,
Antigua and Barbuda,2009,,,,
Barbados,2009,34.5,,,
Dominica,2009,47.78,,,
Anguilla,2009,,,,
Turks & Caicos Is.,2009,,,,
Grenada,2009,29.26,,,
Montserrat,2009,,,,
Cayman Islands,2009,,,,
Guyana,2009,49.41,,,
British Virgin Islands,2009,,,,
Saint Kitts and Nevis,2009,,,,
Trinidad and Tobago,2009,12.56,,,
Jamaica,2009,22.19,,,
Anguilla,2010,,,,
Antigua and Barbuda,2010,,,,
Dominica,2010,47.78,,,
Saint Lucia,2010,29.26,,,
Bahamas,2010,,,,
Saint Kitts and Nevis,2010,,,,
Guyana,2010,46.82,,,
Haiti,2010,,,,
Montserrat,2010,,,,
Cayman Islands,2010,,,,
Turks & Caicos Is.,2010,,,,
Jamaica,2010,29.03,,,
British Virgin Islands,2010,,,,
Barbados,2010,38.75,,,
Trinidad and Tobago,2010,12.54,,,
Bermuda,2010,,,,
Grenada,2010,29.26,,,
Belize,2010,100.0,,,
Saint Vincent and the Grenadines,2010,33.65,,,
Suriname,2010,42.12,,,
Bermuda,2011,,,,
Montserrat,2011,,,,
British Virgin Islands,2011,,,,
Belize,2011,49.66,,,
Bahamas,2011,,,,
Antigua and Barbuda,2011,,,,
Cayman Islands,2011,,,,
Grenada,2011,29.39,,,
Barbados,2011,39.59,,,
Dominica,2011,32.96,,,
Haiti,2011,,,,
Saint Lucia,2011,29.26,,,
Saint Vincent and the Grenadines,2011,33.65,,,
Anguilla,2011,,,,
Turks & Caicos Is.,2011,,,,
Jamaica,2011,29.03,,,
Saint Kitts and Nevis,2011,,,,
Guyana,2011,24.93,,,
Trinidad and Tobago,2011,12.54,,,
Suriname,2011,42.12,,,
Saint Vincent and the Grenadines,2012,33.65,,,
Belize,2012,50.0,,,
Montserrat,2012,,,,
Haiti,2012,,19.1,10.0,
Suriname,2012,41.48,37.9,30.0,
Grenada,2012,29.39,,,
Trinidad and Tobago,2012,12.29,15.4,21.0,
British Virgin Islands,2012,,,,
Jamaica,2012,28.22,16.9,20.0,
Turks & Caicos Is.,2012,,,,
Cayman Islands,2012,,,,
Dominica,2012,37.91,,,
Bermuda,2012,,,,
Barbados,2012,45.24,18.0,19.0,
Guyana,2012,24.46,,,
Bahamas,2012,,,,
Saint Kitts and Nevis,2012,,,,
Saint Lucia,2012,36.2,,,
Antigua and Barbuda,2012,,29.3,28.0,
Anguilla,2012,,,,
Trinidad and Tobago,2013,12.26,27.78,26.74,
Saint Kitts and Nevis,2013,36.67,,,
Suriname,2013,41.48,18.18,29.55,
Antigua and Barbuda,2013,54.94,58.89,27.78,
Bermuda,2013,,,,
Anguilla,2013,42.59,,,
