Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,updt
Anguilla,,,,,,,,,,,,,,,24 Oct 2021
Antigua and Barbuda,1200.0,1200.0,1200.0,1200.0,1300.0,2950.0,3700.0,4305.0,5000.0,6000.0,6500.0,,,,24 Oct 2021
Bahamas,,620.0,620.0,620.0,1000.0,1000.0,2600.0,23020.0,68280.0,122300.0,205000.0,,,,24 Oct 2021
Barbados,519.0,1000.0,3580.0,3960.0,7505.0,8275.0,11110.0,27110.0,54148.0,50655.0,62000.0,62000.0,46230.0,,24 Oct 2021
Belize,180.0,490.0,800.0,800.0,1520.0,2800.0,4000.0,4300.0,5588.0,7071.0,15360.0,,,,24 Oct 2021
Bermuda,,,,,,,,,,,,,,,24 Oct 2021
British Virgin Islands,,,129.0,374.0,,,,,22938.0,,,2355000.0,,,24 Oct 2021
Cayman Islands,,,,,,,,,16797.0,17737.0,,,,,24 Oct 2021
Dominica,,1000.0,1500.0,2155.0,2400.0,2600.0,2600.0,2800.0,3500.0,4100.0,4100.0,,,,24 Oct 2021
Grenada,,2568.0,4402.0,5099.0,6073.0,7352.0,9254.0,11605.0,525.0,,19600.0,19600.0,,,24 Oct 2021
Guyana,36.0,230.0,275.0,1440.0,1100.0,2200.0,2700.0,3000.0,7900.0,41200.0,45200.0,,,,24 Oct 2021
Haiti,,,,,,,,,3072.0,3072.0,3072.0,3072.0,,,24 Oct 2021
Jamaica,2000.0,2000.0,2000.0,8000.0,8000.0,8500.0,12000.0,16107.0,43520.0,61000.0,81000.0,133000.0,179595.0,238818.0,24 Oct 2021
Montserrat,34.0,34.0,100.0,100.0,100.0,100.0,,,,,,,,,24 Oct 2021
Saint Kitts and Nevis,,2000.0,2300.0,2700.0,4700.0,5000.0,5000.0,5000.0,5500.0,7108.0,21200.0,21200.0,,,24 Oct 2021
Saint Lucia,,4000.0,4000.0,4000.0,6000.0,6000.0,9000.0,606.299652084817,606.0,630.0,630.0,,,,24 Oct 2021
Saint Vincent and the Grenadines,3000.0,3000.0,3000.0,3000.0,3300.0,4600.0,5000.0,9160.0,10700.0,12600.0,13200.0,19600.0,,,24 Oct 2021
Suriname,200.0,324.5,326.5,514.0,,,,,911.0,16700.0,14600.0,28800.0,44576.0,57429.0,24 Oct 2021
Trinidad and Tobago,900.0,6300.0,12500.0,19200.0,20900.0,24500.0,30300.0,42794.93,114346.0,180693.0,182574.0,197984.0,181686.0,245016.0,24 Oct 2021
Turks & Caicos Is.,,,,,,,,,,,,,,,24 Oct 2021
