Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,updt
Anguilla,,,,0.0,0.0,0.0,,,,,,,,,24 Oct 2021
Antigua and Barbuda,,0.0,0.0,0.0,0.0,11720.0,27348.0,30000.0,31000.0,41000.0,48000.0,,,,24 Oct 2021
Bahamas,,,0.0,0.0,0.0,10000.0,35000.0,152922.0,182685.0,200696.0,260587.0,314419.0,362303.0,,24 Oct 2021
Barbados,,0.0,0.0,0.0,0.0,100000.0,118000.0,125000.0,157713.0,129094.0,129851.0,171803.0,121218.0,,24 Oct 2021
Belize,,,0.0,0.0,,415.0,6796.0,34500.0,42169.0,185404.0,142855.0,164730.0,171349.0,,24 Oct 2021
Bermuda,,,,0.0,,,,5046.0,,4218.0,6992.0,,,,24 Oct 2021
British Virgin Islands,,,0.0,0.0,0.0,0.0,13352.0,23652.0,34951.0,,,6339.0,6450.0,,24 Oct 2021
Cayman Islands,,,,,,,,,,,,,,,24 Oct 2021
Dominica,,0.0,0.0,0.0,0.0,0.0,0.0,21209.0,30670.0,29937.0,52152.0,67262.0,,,24 Oct 2021
Grenada,,,0.0,0.0,0.0,0.0,900.0,2771.0,30690.0,35250.0,36500.0,64690.0,,,24 Oct 2021
Guyana,,,0.0,0.0,0.0,0.0,0.0,1800.0,1820.0,1850.0,204539.0,,,,24 Oct 2021
Haiti,,0.0,0.0,0.0,0.0,,,16000.0,17000.0,1105681.7,3098128.0,3335050.0,3060889.0,,24 Oct 2021
Jamaica,,,,40592.0,,,856312.0,1086690.0,1505356.0,1589325.0,1412217.0,1502313.0,1630742.0,1741980.0,24 Oct 2021
Montserrat,,,,,900.0,1000.0,,,,,,,,,24 Oct 2021
Saint Kitts and Nevis,,,0.0,0.0,0.0,0.0,3000.0,10209.0,39430.0,43120.0,36390.0,27041.0,,,24 Oct 2021
Saint Lucia,,,0.0,0.0,0.0,0.0,40000.0,50351.0,62190.0,68961.0,80708.0,77322.0,,,24 Oct 2021
Saint Vincent and the Grenadines,,0.0,0.0,0.0,0.0,0.0,0.0,37591.0,42669.0,54072.0,86659.0,59455.0,64315.0,63582.0,24 Oct 2021
Suriname,,,0.0,0.0,0.0,80000.0,70433.0,389700.0,365000.0,264044.0,264044.0,242449.0,530191.0,526477.0,24 Oct 2021
Trinidad and Tobago,,0.0,0.0,6837.0,15535.0,95299.0,253137.0,380642.0,439804.0,643008.0,631954.0,566092.0,524684.0,608301.0,24 Oct 2021
Turks & Caicos Is.,,,,0.0,,,,0.0,,,,,,,24 Oct 2021
