ctry,ip,fqdn,ping,asn,org,peer,prfs,ipv4,ipv6
Haiti,2001:13c7:6003:0:0:0:0:4,None,None,28056,AHTIC,,0,No,Yes
Haiti,2001:13c7:6003:0:0:0:0:5,None,None,28056,AHTIC,,0,No,Yes
Haiti,200.0.18.2,,Yes,20940,AKAMAI INTL B.V.,,0,Yes,No
Haiti,200.0.18.3,,Yes,None,,,,Yes,No
Haiti,200.0.18.4,,Yes,28056,AHTIC,,0,Yes,No
Haiti,200.0.18.5,,Yes,28056,AHTIC,,0,Yes,No
Haiti,200.0.18.7,,Yes,None,,,,Yes,No
Haiti,200.0.18.8,,Yes,None,,,,Yes,No
Haiti,200.0.18.9,,Yes,None,,,,Yes,No
Haiti,200.0.18.10,,Yes,None,,,,Yes,No
Haiti,200.0.18.13,,Yes,27774,HAITI NTWK GRP S.A,,4,Yes,No
Haiti,200.0.18.14,,Yes,None,,,,Yes,No
Haiti,200.0.18.15,,Yes,27759,ACCESS HAITI S.A,,943,Yes,No
Haiti,200.0.18.16,,Yes,None,,,,Yes,No
Haiti,200.0.18.17,,Yes,None,,,,Yes,No
Haiti,200.0.18.20,,Yes,None,,,,Yes,No
Haiti,200.0.18.21,,Yes,None,,,,Yes,No
Haiti,200.0.18.22,,Yes,None,,,,Yes,No
Haiti,200.0.18.30,,Yes,None,,,,Yes,No
Haiti,200.0.18.31,,Yes,None,,,,Yes,No
Haiti,200.0.18.33,,Yes,None,,,,Yes,No
Haiti,200.0.18.254,,Yes,None,,,,Yes,No
Grenada,206.126.244.1,,No,46650,COLUMBUS COMM GRENADA LTD,,56,Yes,No
Grenada,206.126.244.2,,No,46650,COLUMBUS COMM GRENADA LTD,,56,Yes,No
Grenada,206.126.244.4,,No,42,WOODYNET,,,Yes,No
Grenada,206.126.244.5,,No,395561,DIGICEL ST.LUCIA LTD,,4,Yes,No
Grenada,206.126.244.6,,No,14432,NTRC GRENADA,,1,Yes,No
Grenada,206.126.244.7,,No,10307,LIME,,0,Yes,No
Grenada,206.126.244.10,,No,3856,PACKET CLEARING HOUSE,,,Yes,No
Grenada,206.126.244.12,,No,46650,COLUMBUS COMM GRENADA LTD,,1,Yes,No
Grenada,206.126.244.16,,No,399273,GRENADA COOP BANK LTD,,1,Yes,No
Grenada,206.126.244.30,,No,393629,GREEN DOT GRENADA LTD,,0,Yes,No
Grenada,206.126.244.32,,No,20940,AKAMAI INTL B.V.,,2,Yes,No
Grenada,206.126.244.33,,No,30272,GOV OF GRENADA,,1,Yes,No
Grenada,206.126.244.37,,No,13335,CLOUDFLARE INC.,,488,Yes,No
Belize,10.31.2.20,,Yes,None,,,,Yes,No
Belize,10.31.2.30,,Yes,None,,,,Yes,No
Belize,10.31.2.35,,Yes,None,,,,Yes,No
Belize,10.31.2.50,,Yes,None,,,,Yes,No
Belize,10.31.2.60,,Yes,None,,,,Yes,No
Belize,10.31.2.70,,Yes,None,,,,Yes,No
Belize,10.31.2.90,,Yes,None,,,,Yes,No
Belize,10.31.2.110,,Yes,None,,,,Yes,No
Jamaica,2001:504:3e:0:0:0:0:50,None,None,22306,EGOV JAMAICA LTD,,0,No,Yes
Jamaica,206.41.107.10,,Yes,None,,,,Yes,No
Jamaica,206.41.107.11,,Yes,None,,,,Yes,No
Jamaica,206.41.107.20,,Yes,None,,,,Yes,No
Jamaica,206.41.107.30,,Yes,33576,DIGICEL JAMAICA,,2,Yes,No
Jamaica,206.41.107.40,,Yes,33576,DIGICEL JAMAICA,,129,Yes,No
Jamaica,206.41.107.50,,Yes,22306,EGOV JAMAICA LTD,,7,Yes,No
Jamaica,206.41.107.200,,Yes,None,,,,Yes,No
Jamaica,206.41.107.222,,Yes,None,,,,Yes,No
