id,status,short_name,version,subnet,mlpa,traffic,participants,established,traffic_url,exchange_point_id,mrtg_graph_type_id,ctry,long_nm
394,Active,AIX,IPv4,200.0.18.0/24,Unknown,12000000.0,9.0,20090505.0,https://portal.ixp.ht/statistics/ixp,982,0,Haiti,AHTIC Internet Exchange Point
362,Active,AIX-IPv6,IPv6,2001:13c7:6003::/48,Unknown,0.0,9.0,20090505.0,,982,0,Haiti,AHTIC Internet Exchange Point
633,Active,GREX,IPv4,206.126.244.0/24,None,1550000.0,9.0,20110512.0,https://ixgd.wordpress.com/statistics/,1297,0,Grenada,Grenada Internet Exchange
1046,Active,GREXv6,IPv6,2001:1808:1:1::/64,Available,0.0,0.0,0.0,,1297,0,Grenada,Grenada Internet Exchange
583,Active,DominicaIX,IPv4,206.53.141.0/27,Unknown,67470.0,4.0,20130227.0,http://www.danix.dm/traffic-statistics/,1364,0,Dominica,Dominica National Internet Exchange Point
1343,Unknown,,IPv6,,Unknown,0.0,2.0,0.0,,1364,0,Dominica,Dominica National Internet Exchange Point
742,Planned,BVIXv4,IPv4,,Unknown,0.0,0.0,0.0,,1299,0,British Virgin Islands,British Virgin Islands IXP
1474,Active,ttix-2,IPv4,131.72.77.240/28,None,15020000.0,8.0,20170131.0,https://ix.tt/statistics/,2029,0,Trinidad and Tobago,TTIX2
741,Active,TTIXv4,IPv4,181.188.0.240/28,Unknown,460000.0,8.0,20140418.0,https://ix.tt/statistics/,1803,0,Trinidad and Tobago,Trinidad and Tobago Internet Exchange
1364,Unknown,,IPv6,,Unknown,0.0,2.0,0.0,,1803,0,Trinidad and Tobago,Trinidad and Tobago Internet Exchange
1217,Active,BIXP-v4,IPv4,10.31.2.0/24,None,44400.0,9.0,20160427.0,http://200.32.208.221/mrtg/,1918,0,Belize,Belize Internet Exchange Point
992,Active,JAIXP IPv4 subnet,IPv4,206.41.107.0/24,None,0.0,4.0,20140831.0,,1814,0,Jamaica,Jamaica Internet Exchange Point
993,Active,JAIXP IPv6 Subnet,IPv6,2001:504:3E::/64,None,0.0,3.0,20140831.0,,1814,0,Jamaica,Jamaica Internet Exchange Point
675,Active,SLiXv4,IPv4,208.169.85.248/29,Unknown,0.0,5.0,20140600.0,,1782,0,Saint Lucia,Saint Lucia IXP
1358,Unknown,,IPv6,,Unknown,0.0,2.0,0.0,,1782,0,Saint Lucia,Saint Lucia IXP
1485,Unknown,SVGIX v4,IPv4,,Unknown,0.0,0.0,20160126.0,,2035,0,Saint Vincent and the Grenadines,SVGIX
1607,Planned,,IPv4,,Unknown,0.0,0.0,20190000.0,,2120,0,Saint Kitts and Nevis,Saint Kitts and Nevis Internet Exchange
1857,Unknown,BARIX v4,IPv4,,,,,,,2236,0,Barbados,Barbados Internet Exchange
1871,Unknown,BARIX v6,IPv6,,,,,,,2236,0,Barbados,Barbados Internet Exchange
