Month,Country,Download Mbps,Upload Mbps,Latency ms,Jitter
2020-10-01,Haiti,18.29,10.64,35,40
2020-11-01,Haiti,18.22,10.33,32,44
2020-12-01,Haiti,21.03,11.59,29,32
2021-01-01,Haiti,16.52,9.89,36,50
2021-02-01,Haiti,16.25,10.29,42,66
2021-03-01,Haiti,17.1,10.23,37,51
2021-04-01,Haiti,20.48,11.0,41,47
2021-05-01,Haiti,21.76,11.22,36,43
2021-06-01,Haiti,19.44,10.32,35,51
2021-07-01,Haiti,19.95,10.69,37,60
2021-08-01,Haiti,22.52,10.56,37,33
2021-09-01,Haiti,19.71,10.17,33,34
2021-10-01,Haiti,17.61,10.03,36,54
2020-10-01,Jamaica,37.62,11.78,31,39
2020-11-01,Jamaica,36.35,11.7,29,34
2020-12-01,Jamaica,36.61,10.56,33,40
2021-01-01,Jamaica,35.95,10.75,34,36
2021-02-01,Jamaica,38.2,11.29,34,37
2021-03-01,Jamaica,42.74,11.88,28,27
2021-04-01,Jamaica,41.18,11.27,30,30
2021-05-01,Jamaica,38.93,10.74,28,31
2021-06-01,Jamaica,40.41,10.69,28,28
2021-07-01,Jamaica,42.95,11.91,29,30
2021-08-01,Jamaica,36.77,10.33,32,45
2021-09-01,Jamaica,44.23,11.85,29,35
2021-10-01,Jamaica,42.24,11.68,29,28
2020-10-01,Suriname,26.05,14.96,26,20
2020-11-01,Suriname,27.02,13.68,23,15
2020-12-01,Suriname,28.47,14.71,23,18
2021-01-01,Suriname,27.17,14.65,24,20
2021-02-01,Suriname,24.09,13.48,31,23
2021-03-01,Suriname,29.05,13.57,26,19
2021-04-01,Suriname,40.37,14.17,24,22
2021-05-01,Suriname,36.73,14.47,29,24
2021-06-01,Suriname,36.76,14.62,31,21
2021-07-01,Suriname,35.92,14.61,26,20
2021-08-01,Suriname,39.54,14.77,26,23
2021-09-01,Suriname,42.97,16.13,22,14
2021-10-01,Suriname,34.73,15.87,24,15
2020-10-01,Trinidad and Tobago,41.81,13.93,27,18
2020-11-01,Trinidad and Tobago,40.66,13.53,28,21
2020-12-01,Trinidad and Tobago,43.72,15.03,27,19
2021-01-01,Trinidad and Tobago,40.9,14.35,29,18
2021-02-01,Trinidad and Tobago,38.71,14.08,39,19
2021-03-01,Trinidad and Tobago,36.1,12.45,31,22
2021-04-01,Trinidad and Tobago,38.54,12.71,28,17
2021-05-01,Trinidad and Tobago,41.72,13.04,26,18
2021-06-01,Trinidad and Tobago,38.49,12.45,25,18
2021-07-01,Trinidad and Tobago,38.32,12.37,25,19
2021-08-01,Trinidad and Tobago,37.54,12.53,27,18
2021-09-01,Trinidad and Tobago,41.12,14.52,24,17
2021-10-01,Trinidad and Tobago,39.2,13.42,23,15
